date	zvw	awbz-wlz
01/06/1996	14183,1	8617,789899
01/06/1997	14733,1	10794,96806
01/06/1998	15356,1	11230,44455
01/06/1999	16285,9	11862,13035
01/06/2000	17399,64218	12936,17487
01/06/2001	19157,73024	14652,50034
01/06/2002	21487,10425	16820,66381
01/06/2003	22960,75311	18333,76306
01/06/2004	23247,12311	19424,22953
01/06/2005	22252,71259	20368
01/06/2006	23239,93808	21201,27397
01/06/2007	24030,10698	21234,88093
01/06/2008	30154,7	20188
01/06/2009	32392,36	21626,8
01/06/2010	33993,034	22656,531
01/06/2011	34483,797	23602,622
01/06/2012	34739,325	26168,846
01/06/2013	36544,221	25537,344
01/06/2014	36258,652	25835,259
01/06/2015	39517,524	18050,008
01/06/2016	41780,702	17997,316
01/06/2017	43269,049	18208,694
01/06/2018	45057,161	19215,209
01/06/2019	46881,118	20127,927
01/06/2020	49007,471	21337,46
01/06/2021	51338,926	22759,788